UUID,slug,7/21/2022 18:27,7/21/2022 20:35,7/21/2022 20:46,7/21/2022 20:59,7/21/2022 21:59,7/21/2022 22:59,7/21/2022 23:59,2022-07-22 01:00:08,2022-07-22 02:00:07,2022-07-22 03:00:06,2022-07-22 04:00:07,2022-07-22 05:00:06,2022-07-22 06:00:07,2022-07-22 07:00:07
9a509034-e28e-4057-b1d7-e3f6d86d9846,goodboyseries1,8690390000000000000,8690390000000000000,8690390000000000000,8690390000000000000,8690390000000000000,8690390000000000000,8690390000000000000,8690390000000000000,8700390000000000000,8715390000000000000,8715390000000000000,8715390000000000000,8715390000000000000,8715390000000000000
add02d39-be43-4709-a255-e032ed084063,loopcatsxcrayons,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000,4645780000000000000
3d97dfaa-51ff-4156-9d87-4a2a3f4483cb,bathrooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ce84b87-63b3-4c5f-bff2-b8cb8b0f3591,elementals,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000,126000000000000000
b4f71582-0780-4d6a-8a23-a13d3f46bc5f,TheChibis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a5ef4644-74c4-4a06-a5e1-a164c32762f8,bugs,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000,825800000000000000
8c431e29-7384-474d-b740-232e13f69cab,memcards,1998000000000000000,2067000000000000000,2067000000000000000,2067000000000000000,2067000000000000000,2067000000000000000,2067000000000000000,2067000000000000000,2067000000000000000,2067000000000000000,2067000000000000000,2136000000000000000,2136000000000000000,2136000000000000000
763c188b-9321-444c-a06d-f58ec6c3e730,sugar,3836690000000000000,3836690000000000000,3836690000000000000,3836690000000000000,3840690000000000000,3840690000000000000,3840690000000000000,3840690000000000000,3850690000000000000,3850690000000000000,3850690000000000000,3850690000000000000,3850690000000000000,3850690000000000000
7ea6bd9d-2215-4474-bed1-10760a3c2091,pxltoys,107604000000000000000,107926000000000000000,107926000000000000000,107926000000000000000,107963000000000000000,107963000000000000000,108052000000000000000,108313010000000000000,108353010000000000000,108523010000000000000,108592010000000000000,108592010000000000000,108592010000000000000,108592010000000000000
728143a8-0556-4ee4-99fb-5c045ef57d23,3d_art,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139332fa-420e-4d4b-ba0a-eec7ee2d8f9b,NaturePhotos,2967450000000000000,2967450000000000000,2967450000000000000,2967450000000000000,2967450000000000000,2967450000000000000,2967450000000000000,2967450000000000000,2967450000000000000,2977350000000000000,2977350000000000000,2977350000000000000,2977350000000000000,2977350000000000000
dfd65c65-76eb-4df6-beb7-cbe8c89b1518,legacy,90000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000,110000000000000000
b81cd739-5189-47e5-934c-4690c04dd0bb,ChibiTown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00351993-5175-49b6-8a44-41003b958c3c,cats,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2df8e200-1334-4bfe-8570-d7a2e3b54312,Moon222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a6ea69c-1e1f-4d04-b3b7-692bbde95a63,StupidMonkeysCollab,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000,400000000000000000
534f3178-f7d2-44cb-8141-f9b68cabccc3,Sloth,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e69346dc-8461-435e-baa5-4035755324ec,wutangclan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9452cff1-0e4b-4f86-8f78-171ea6d91159,wutang,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f995db27-5b63-42a7-ad87-e798a40120c4,yaboynancystory,12416100000000000000,12442200000000000000,12442200000000000000,12442200000000000000,12442200000000000000,12442200000000000000,12542200000000000000,12542210000000000000,12548110000000000000,12548110000000000000,12548110000000000000,12548110000000000000,12548110000000000000,12548110000000000000
